Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,80023.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000741,5.56e-12,Al,0.03,10000.0,,1.92e-05,,coil,randomly distributed,Brown2014,,,
PCL,80020.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0007379999999999999,5.56e-12,Al,0.02,12000.0,,1.83e-05,,coil,randomly distributed,Brown2014,,,
PCL,80024.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000742,5.56e-12,Al,0.03,12000.0,,1.82e-05,,coil,randomly distributed,Brown2014,,,
PCL,80009.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000727,2.78e-12,Al,0.04,6000.0,,1.57e-05,,coil,randomly distributed,Brown2014,,,
PCL,80005.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000723,2.78e-12,Al,0.03,6000.0,,1.51e-05,,coil,randomly distributed,Brown2014,,,
PCL,80013.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000731,2.78e-12,Al,0.06,6000.0,,1.4300000000000002e-05,,coil,randomly distributed,Brown2014,,,
PCL,80001.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000719,2.78e-12,Al,0.02,6000.0,,1.4000000000000001e-05,,coil,randomly distributed,Brown2014,,,
PCL,80030.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0007480000000000001,5.56e-12,Al,0.06,10000.0,,1.4000000000000001e-05,,coil,randomly distributed,Brown2014,,,
PCL,80010.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000728,2.78e-12,Al,0.04,8000.0,,1.36e-05,,coil,randomly distributed,Brown2014,,,
PCL,80006.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000724,2.78e-12,Al,0.03,8000.0,,1.31e-05,,coil,randomly distributed,Brown2014,,,
PCL,80002.0,CF/DMF,0.7474335,,,1142.62,melt,,0.00072,2.78e-12,Al,0.02,8000.0,,1.26e-05,,coil,randomly distributed,Brown2014,,,
PCL,80014.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000732,2.78e-12,Al,0.06,8000.0,,1.23e-05,,coil,randomly distributed,Brown2014,,,
PCL,80011.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000729,2.78e-12,Al,0.04,10000.0,,1.22e-05,,coil,randomly distributed,Brown2014,,,
PCL,80007.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000725,2.78e-12,Al,0.03,10000.0,,1.21e-05,,coil,randomly distributed,Brown2014,,,
PCL,80012.0,CF/DMF,0.7474335,,,1142.62,melt,,0.00073,2.78e-12,Al,0.04,12000.0,,1.1599999999999999e-05,,coil,randomly distributed,Brown2014,,,
PCL,80015.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000733,2.78e-12,Al,0.06,10000.0,,1.1599999999999999e-05,,coil,randomly distributed,Brown2014,,,
